Transporte,Telepeaje,/institucional/promociones.aspx,Desde el 16/10/2018 al 21/4/2019 haciendo el débito del Telepeaje te regalamos el TAG.
Especiales,Registro Mi Cuenta,/institucional/promociones.aspx,Desde el 10/09 hasta el 30/11/2018 registrate en Mi Cuenta y participá del sorteo de 10 iPads.
Especiales,3 cuotas en el exterior,/institucional/promociones.aspx,Promoción válida del 1/10/2018 al 21/04/2019 exclusivamente en compras presenciales y por internet realizadas fuera de Uruguay.
Hogar,INCA,/institucional/promociones.aspx,Los jueves y viernes desde el 11/10 al 9/11/2018 tenés 20% menos en productos INCA. Y todos los días 12 cuotas sin recargo.
Especiales,Mercado Libre- Primera compra,/institucional/promociones.aspx,Desde el 15/10 al 5/11/2018 tenés 10% menos en tu primera compa en Mercado Libre pagando con Mercadopago
Especiales,12 cuotas sin recargo,/institucional/promociones.aspx,Desde el 4 de setiembre al 5 de noviembre de 2018 tenés 12 cuotas sin recargo.
Supermercados,Ta-Ta,/institucional/promociones.aspx,Desde el 1 al 30 de noviembre de 2018 tenés 20% de descuento en cotillón navideño.
Gastronomía,Burger King,/institucional/promociones.aspx,30% menos de lunes a miércoles en los locales Burger King de todo el país.
Salud,Farmacias,/institucional/promociones.aspx,Todos los días 10% de descuento + metros dobles.Promoción válida hasta el 31 de diciembre de 2018.
Especiales,Préstamo con regalo,/institucional/promociones.aspx,Pedí tu préstamo y llevate una tv de regalo.
Hogar,Ferreterías,/institucional/promociones.aspx,Todos los días 10 % de descuento + metros dobles. Promoción válida hasta el 31 de diciembre de 2018.
Vestimenta,8 cuotas sin recargo,/institucional/promociones.aspx,En Daniel CassinEspacio BA Piece of Cake y Allie hasta el 31/12/2018.
Gastronomía,Chajá,/institucional/promociones.aspx,Los viernes hasta el 31 de diciembre de 2018 tenés 20% de descuento.
Especiales,woOw Shop!,/institucional/promociones.aspx,Comprando con OCA tenés descuentos de entre 15 y 25% en productos seleccionados de woOw Shop!.
Turismo,Hiperviajes,/institucional/promociones.aspx,12 cuotas sin recargo hasta el 31 de diciembre de 2018.
Especiales,Presentá un amigo,/institucional/promociones.aspx,Y ganá 1.000 metros para canjear por lo que más te guste en el Metraje.
